num;repet;Climat;Rotation;Date_semis;Densite_semis;cov.nb;niv_RQ;pertes_rdt_3seeds
315;2;1;10;1;55;2;1.4;13.55204017
316;2;1;10;1;25;2;1.4;13.76956328
317;2;1;10;0;55;1.5;1.4;13.38717587
318;2;1;10;0;25;1.5;1.4;13.32366523
319;2;1;10;1;55;1.5;1.4;14.44569618
320;2;1;10;1;25;1.5;1.4;14.74620384
321;2;1;10;0;55;2.5;1.4;12.39020394
322;2;1;10;0;25;2.5;1.4;12.22552906
323;2;1;10;1;55;2.5;1.4;12.83069639
324;2;1;10;1;25;2.5;1.4;13.04433633
325;2;1;10;0;55;2;1.6;10.60163175
326;2;1;10;0;25;2;1.6;10.48806636
327;2;1;10;1;55;2;1.6;11.16704252
328;2;1;10;1;25;2;1.6;11.23565333
329;2;1;10;0;55;1.5;1.6;11.1115194
330;2;1;10;0;25;1.5;1.6;11.0149667
331;2;1;10;1;55;1.5;1.6;11.89859744
332;2;1;10;1;25;1.5;1.6;12.10534426
333;2;1;10;0;55;2.5;1.6;10.07094436
334;2;1;10;0;25;2.5;1.6;9.876018371
335;2;1;10;1;55;2.5;1.6;10.49216308
336;2;1;10;1;25;2.5;1.6;10.52776025
337;2;2;20;0;55;2;1.85;3.546716795
338;2;2;20;0;25;2;1.85;3.696642302
339;2;2;20;1;55;2;1.85;5.146757447
340;2;2;20;1;25;2;1.85;5.379754471
341;2;2;20;0;55;1.5;1.85;4.507423423
342;2;2;20;0;25;1.5;1.85;4.435195269
343;2;2;20;1;55;1.5;1.85;5.664438976
344;2;2;20;1;25;1.5;1.85;5.803152093
345;2;2;20;0;55;2.5;1.85;2.955715414
346;2;2;20;0;25;2.5;1.85;2.840207794
347;2;2;20;1;55;2.5;1.85;4.734881863
348;2;2;20;1;25;2.5;1.85;5.009196023
349;2;2;20;0;55;2;1;7.929704573
350;2;2;20;0;25;2;1;8.041535183
351;2;2;20;1;55;2;1;10.34995389
352;2;2;20;1;25;2;1;10.66966638
353;2;2;20;0;55;1.5;1;9.490872502
354;2;2;20;0;25;1.5;1;9.579425093
355;2;2;20;1;55;1.5;1;11.26627483
356;2;2;20;1;25;1.5;1;11.5359473
357;2;2;20;0;55;2.5;1;6.695940876
358;2;2;20;0;25;2.5;1;6.889445101
359;2;2;20;1;55;2.5;1;9.6687703
360;2;2;20;1;25;2.5;1;10.02476772
361;2;2;20;0;55;2;1.4;5.660597015
362;2;2;20;0;25;2;1.4;5.755005425
363;2;2;20;1;55;2;1.4;7.353408029
364;2;2;20;1;25;2;1.4;7.559965476
365;2;2;20;0;55;1.5;1.4;6.635605651
366;2;2;20;0;25;1.5;1.4;6.678892736
